QTD_CHOC,VAR_1,PESO_BOMBOM,VAR_2_B,VAR_2_C
286.63,2.72,11.167998657376502,0.0,0.0
257.27,1.97,8.509155647490926,1.0,0.0
353.16,2.64,12.693100987226403,0.0,0.0
317.78,2.76,11.817573742980414,0.0,0.0
248.1,2.63,10.055342208290213,0.0,1.0
301.79,0.93,10.60592437136278,0.0,0.0
246.52,2.98,10.63867266854415,1.0,0.0
356.48,2.38,12.612861894446343,0.0,0.0
349.41,1.59,9.578501577738827,1.0,0.0
282.74,2.11,10.82669112031855,0.0,1.0
321.34,2.29,9.956589244754001,1.0,0.0
268.78,1.83,10.263852662079344,0.0,1.0
244.19,2.73,10.017961510732542,0.0,1.0
249.18,2.24,9.360709859078286,1.0,0.0
263.38,2.56,9.65107448408002,1.0,0.0
299.88,2.31,10.618175830824061,0.0,1.0
268.56,2.18,10.400119877032639,0.0,1.0
208.0,2.98,9.606838815814609,0.0,1.0
273.53,2.78,10.25774377327414,1.0,0.0
294.21,1.9,9.063710953868092,1.0,0.0
335.1,2.62,10.650198952132419,1.0,0.0
292.23,2.08,9.172141741022612,1.0,0.0
307.01,1.97,11.173354656894139,0.0,0.0
264.95,2.83,9.984077231963829,0.0,1.0
236.9,0.69,7.932927281653836,1.0,0.0
271.78,2.8,9.93896546742752,0.0,1.0
218.16,2.75,9.62815368341308,0.0,1.0
291.77,2.49,10.124947163696048,0.0,1.0
327.76,1.69,9.4541713689591,1.0,0.0
315.35,2.96,12.071215306522188,0.0,0.0
318.98,2.5,10.282142652247941,1.0,0.0
248.9,1.99,10.361137063604975,0.0,1.0
274.13,2.8,9.963298931174641,0.0,1.0
285.31,0.63,9.300542416108899,0.0,0.0
250.72,2.47,9.565371088327483,1.0,0.0
368.74,1.14,9.296925135108001,1.0,0.0
299.93,2.33,11.148713395970912,0.0,0.0
213.83,2.36,9.375813901043005,0.0,1.0
381.41,2.82,11.312984077834072,1.0,0.0
343.76,1.91,12.38147862544191,0.0,0.0
300.71,2.26,9.54681013669435,1.0,0.0
311.5,2.27,11.49238245747796,0.0,0.0
321.7,2.9,10.418732655651786,0.0,1.0
312.08,0.92,10.681574227141285,0.0,0.0
320.53,1.32,8.972155721543464,1.0,0.0
296.03,1.79,8.894644487689298,1.0,0.0
359.62,2.81,12.807544553357657,0.0,0.0
266.98,1.23,8.18458273009268,1.0,0.0
387.76,2.38,10.996466858252811,1.0,0.0
316.11,1.34,8.990417063522036,1.0,0.0
